timestamp,slug,window_start,window_end,side,entry_price,model_price,edge,btc_spot,btc_strike,sigma,tau_min,trade_size_usd,resolved,outcome,pnl,exit_price,exit_reason,exit_timestamp
2026-06-02T14:00:44.373457+00:00,btc-updown-5m-1780408800,2026-06-02T14:00:00+00:00,2026-06-02T14:05:00+00:00,BUY_UP,0.245,0.499726,0.254726,68742.85,68742.85,0.0006664008,4.26,2.0,True,EXIT:edge_lost,-0.42,0.035,edge_lost,2026-06-02T14:03:11.690123+00:00
2026-06-02T14:06:06.922995+00:00,btc-updown-5m-1780409100,2026-06-02T14:05:00+00:00,2026-06-02T14:10:00+00:00,BUY_DOWN,0.76,0.483035,-0.276965,68678.04,68681.44,0.0005987776,3.885,2.0,True,EXIT:edge_lost,1.4406,0.975,edge_lost,2026-06-02T14:08:56.685380+00:00
2026-06-02T14:10:44.356990+00:00,btc-updown-5m-1780409400,2026-06-02T14:10:00+00:00,2026-06-02T14:15:00+00:00,BUY_UP,0.255,0.499723,0.244723,68334.99,68334.99,0.0006731722,4.261,2.0,True,EXIT:edge_lost,1.3916,0.965,edge_lost,2026-06-02T14:12:59.321426+00:00
2026-06-02T14:17:11.829767+00:00,btc-updown-5m-1780409700,2026-06-02T14:15:00+00:00,2026-06-02T14:20:00+00:00,BUY_UP,0.235,0.495557,0.260557,68517.84,68518.79,0.0007906293,2.803,2.0,True,EXIT:edge_lost,-0.44,0.015,edge_lost,2026-06-02T14:18:30.251335+00:00
2026-06-02T14:25:37.155067+00:00,btc-updown-5m-1780410300,2026-06-02T14:25:00+00:00,2026-06-02T14:30:00+00:00,BUY_DOWN,0.64,0.36296,-0.27704,68052.03,68095.81,0.0008788269,4.381,2.0,True,EXIT:edge_lost,0.2254,0.475,edge_lost,2026-06-02T14:25:42.894647+00:00
2026-06-02T14:30:34.853638+00:00,btc-updown-5m-1780410600,2026-06-02T14:30:00+00:00,2026-06-02T14:35:00+00:00,BUY_DOWN,0.745,0.49957,-0.24543,68019.74,68019.74,0.0010253546,4.419,2.0,True,EXIT:edge_lost,-0.46,0.025,edge_lost,2026-06-02T14:33:30.149658+00:00
2026-06-02T14:36:02.432541+00:00,btc-updown-5m-1780410900,2026-06-02T14:35:00+00:00,2026-06-02T14:40:00+00:00,BUY_DOWN,0.765,0.445484,-0.319516,68154.01,68173.15,0.0010372375,3.959,2.0,True,Up,-0.47,,,
2026-06-02T14:40:26.845063+00:00,btc-updown-5m-1780411200,2026-06-02T14:40:00+00:00,2026-06-02T14:45:00+00:00,BUY_UP,0.305,0.586735,0.281735,68027.93,67993.65,0.0010723122,4.553,2.0,True,EXIT:edge_lost,0.294,0.455,edge_lost,2026-06-02T14:40:43.942741+00:00
2026-06-02T14:45:26.362859+00:00,btc-updown-5m-1780411500,2026-06-02T14:45:00+00:00,2026-06-02T14:50:00+00:00,BUY_DOWN,0.785,0.499541,-0.285459,68153.35,68153.35,0.0010784322,4.561,2.0,True,EXIT:edge_lost,-0.42,0.005,edge_lost,2026-06-02T14:49:10.386429+00:00
2026-06-02T14:53:30.477150+00:00,btc-updown-5m-1780411800,2026-06-02T14:50:00+00:00,2026-06-02T14:55:00+00:00,BUY_UP,0.115,0.387855,0.272855,68188.0,68214.0,0.0010979975,1.492,2.0,True,EXIT:edge_lost,-0.22,0.005,edge_lost,2026-06-02T14:54:21.297644+00:00
2026-06-02T15:04:18.919710+00:00,btc-updown-5m-1780412400,2026-06-02T15:00:00+00:00,2026-06-02T15:05:00+00:00,BUY_UP,0.045,0.294708,0.249708,67954.68,67988.54,0.0011164837,0.685,2.0,True,EXIT:edge_lost,-0.08,0.005,edge_lost,2026-06-02T15:04:52.402427+00:00
2026-06-02T15:07:17.653089+00:00,btc-updown-5m-1780412700,2026-06-02T15:05:00+00:00,2026-06-02T15:10:00+00:00,BUY_DOWN,0.825,0.581948,-0.243052,67999.51,67973.49,0.0011196716,2.706,2.0,True,EXIT:edge_reversed,-0.34,0.005,edge_reversed,2026-06-02T15:09:59.806731+00:00
2026-06-02T15:10:33.290687+00:00,btc-updown-5m-1780413000,2026-06-02T15:10:00+00:00,2026-06-02T15:15:00+00:00,BUY_UP,0.195,0.499536,0.304536,67900.01,67900.01,0.0011034386,4.445,2.0,True,EXIT:edge_lost,-0.38,0.005,edge_lost,2026-06-02T15:14:52.405109+00:00
2026-06-02T15:16:00.542273+00:00,btc-updown-5m-1780413300,2026-06-02T15:15:00+00:00,2026-06-02T15:20:00+00:00,BUY_UP,0.205,0.499589,0.294589,67761.75,67761.75,0.0010316231,3.991,2.0,True,EXIT:edge_reversed,-0.4,0.005,edge_reversed,2026-06-02T15:19:57.229357+00:00
2026-06-02T15:20:25.249129+00:00,btc-updown-5m-1780413600,2026-06-02T15:20:00+00:00,2026-06-02T15:25:00+00:00,BUY_UP,0.255,0.660473,0.405473,67615.89,67552.15,0.0010622796,4.579,2.0,True,EXIT:edge_reversed,0.245,0.38,edge_reversed,2026-06-02T15:20:36.514142+00:00
2026-06-02T15:25:46.384728+00:00,btc-updown-5m-1780413900,2026-06-02T15:25:00+00:00,2026-06-02T15:30:00+00:00,BUY_UP,0.235,0.478301,0.243301,67490.02,67497.69,0.00103602,4.227,2.0,True,EXIT:edge_lost,0.4312,0.455,edge_lost,2026-06-02T15:25:57.538137+00:00
2026-06-02T15:30:58.992435+00:00,btc-updown-5m-1780414200,2026-06-02T15:30:00+00:00,2026-06-02T15:35:00+00:00,BUY_UP,0.16,0.499602,0.339602,67230.97,67230.97,0.0009967886,4.017,2.0,True,Down,-0.32,,,
2026-06-02T15:39:19.559572+00:00,btc-updown-5m-1780414500,2026-06-02T15:35:00+00:00,2026-06-02T15:40:00+00:00,BUY_DOWN,0.565,0.320284,-0.244716,67263.37,67290.97,0.0010712466,0.674,2.0,True,EXIT:edge_lost,1.078,0.985,edge_lost,2026-06-02T15:39:53.495038+00:00
2026-06-02T15:41:07.442526+00:00,btc-updown-5m-1780414800,2026-06-02T15:40:00+00:00,2026-06-02T15:45:00+00:00,BUY_DOWN,0.755,0.49955,-0.25545,67307.57,67307.58,0.0010738418,3.876,2.0,True,Up,-0.49,,,
2026-06-02T15:45:37.127809+00:00,btc-updown-5m-1780415100,2026-06-02T15:45:00+00:00,2026-06-02T15:50:00+00:00,BUY_DOWN,0.775,0.499557,-0.275443,67367.61,67367.61,0.0010604856,4.381,2.0,True,EXIT:edge_lost,1.4896,0.985,edge_lost,2026-06-02T15:49:29.430835+00:00
2026-06-02T15:54:31.556232+00:00,btc-updown-5m-1780415400,2026-06-02T15:50:00+00:00,2026-06-02T15:55:00+00:00,BUY_UP,0.195,0.477123,0.282123,67148.41,67151.28,0.0010890119,0.474,2.0,True,Down,-0.39,,,
2026-06-02T16:08:28.346861+00:00,btc-updown-5m-1780416300,2026-06-02T16:05:00+00:00,2026-06-02T16:10:00+00:00,BUY_DOWN,0.935,0.693359,-0.241641,67512.32,67464.86,0.0011242778,1.528,2.0,True,EXIT:edge_lost,-0.12,0.005,edge_lost,2026-06-02T16:09:25.192712+00:00
2026-06-02T16:10:16.240121+00:00,btc-updown-5m-1780416600,2026-06-02T16:10:00+00:00,2026-06-02T16:15:00+00:00,BUY_UP,0.37,0.617851,0.247851,67573.33,67523.85,0.0011188231,4.729,2.0,True,EXIT:edge_reversed,0.3822,0.565,edge_reversed,2026-06-02T16:10:22.076370+00:00
2026-06-02T16:17:52.417343+00:00,btc-updown-5m-1780416900,2026-06-02T16:15:00+00:00,2026-06-02T16:20:00+00:00,BUY_UP,0.595,0.85455,0.25955,67985.87,67866.16,0.0011434232,2.126,2.0,True,EXIT:edge_lost,0.686,0.945,edge_lost,2026-06-02T16:18:26.008474+00:00
2026-06-02T16:20:39.736132+00:00,btc-updown-5m-1780417200,2026-06-02T16:20:00+00:00,2026-06-02T16:25:00+00:00,BUY_UP,0.245,0.5102,0.2652,67985.88,67981.42,0.0011755891,4.338,2.0,True,EXIT:edge_lost,-0.48,0.005,edge_lost,2026-06-02T16:24:11.550520+00:00
2026-06-02T16:27:32.361281+00:00,btc-updown-5m-1780417500,2026-06-02T16:25:00+00:00,2026-06-02T16:30:00+00:00,BUY_UP,0.325,0.572,0.247,67818.92,67796.38,0.0011619075,2.461,2.0,True,EXIT:edge_lost,0.8036,0.735,edge_lost,2026-06-02T16:28:11.147734+00:00
2026-06-02T16:41:39.747072+00:00,btc-updown-5m-1780418400,2026-06-02T16:40:00+00:00,2026-06-02T16:45:00+00:00,BUY_DOWN,0.765,0.521554,-0.243446,67670.0,67663.62,0.0009398335,3.338,2.0,True,Up,-0.47,,,
2026-06-02T16:46:07.323245+00:00,btc-updown-5m-1780418700,2026-06-02T16:45:00+00:00,2026-06-02T16:50:00+00:00,BUY_DOWN,0.755,0.507737,-0.247263,67698.48,67696.0,0.000916539,3.878,2.0,True,EXIT:edge_lost,-0.48,0.005,edge_lost,2026-06-02T16:49:06.239051+00:00
2026-06-02T16:56:13.176797+00:00,btc-updown-5m-1780419300,2026-06-02T16:55:00+00:00,2026-06-02T17:00:00+00:00,BUY_UP,0.375,0.676001,0.301001,67544.4,67490.14,0.0009036055,3.78,2.0,True,EXIT:edge_lost,-0.74,0.005,edge_lost,2026-06-02T16:59:29.496960+00:00
2026-06-02T17:05:37.539067+00:00,btc-updown-5m-1780419900,2026-06-02T17:05:00+00:00,2026-06-02T17:10:00+00:00,BUY_DOWN,0.775,0.499613,-0.275387,67614.01,67614.01,0.0009266267,4.374,2.0,True,EXIT:edge_lost,1.47,0.975,edge_lost,2026-06-02T17:08:32.285893+00:00
2026-06-02T17:12:47.046900+00:00,btc-updown-5m-1780420200,2026-06-02T17:10:00+00:00,2026-06-02T17:15:00+00:00,BUY_DOWN,0.815,0.567819,-0.247181,67496.0,67481.03,0.0008690159,2.216,2.0,True,EXIT:edge_lost,-0.36,0.005,edge_lost,2026-06-02T17:14:55.912514+00:00
2026-06-02T17:18:07.755224+00:00,btc-updown-5m-1780420500,2026-06-02T17:15:00+00:00,2026-06-02T17:20:00+00:00,BUY_UP,0.365,0.619086,0.254086,67496.25,67474.1,0.0007903607,1.871,2.0,True,EXIT:edge_lost,1.0192,0.885,edge_lost,2026-06-02T17:19:20.672620+00:00
2026-06-02T17:20:50.427110+00:00,btc-updown-5m-1780420800,2026-06-02T17:20:00+00:00,2026-06-02T17:25:00+00:00,BUY_DOWN,0.835,0.499643,-0.335357,67694.07,67694.08,0.000787372,4.16,2.0,True,EXIT:edge_lost,-0.32,0.005,edge_lost,2026-06-02T17:23:43.959955+00:00
2026-06-02T17:37:43.105891+00:00,btc-updown-5m-1780421700,2026-06-02T17:35:00+00:00,2026-06-02T17:40:00+00:00,BUY_DOWN,0.75,0.495409,-0.254591,67657.04,67658.01,0.000875119,2.282,2.0,True,Up,-0.5,,,
2026-06-02T17:40:32.754433+00:00,btc-updown-5m-1780422000,2026-06-02T17:40:00+00:00,2026-06-02T17:45:00+00:00,BUY_UP,0.245,0.499636,0.254636,67608.01,67608.01,0.0008650412,4.454,2.0,True,EXIT:edge_lost,-0.48,0.005,edge_lost,2026-06-02T17:44:13.930894+00:00
2026-06-02T17:50:55.801672+00:00,btc-updown-5m-1780422600,2026-06-02T17:50:00+00:00,2026-06-02T17:55:00+00:00,BUY_UP,0.255,0.499671,0.244671,67402.84,67402.84,0.0008174784,4.07,2.0,True,EXIT:edge_lost,1.372,0.955,edge_lost,2026-06-02T17:54:06.597136+00:00
2026-06-02T18:00:44.688809+00:00,btc-updown-5m-1780423200,2026-06-02T18:00:00+00:00,2026-06-02T18:05:00+00:00,BUY_DOWN,0.855,0.591894,-0.263106,67570.0,67545.02,0.0007686148,4.255,2.0,True,Up,-0.29,,,
2026-06-02T18:14:32.247670+00:00,btc-updown-5m-1780423800,2026-06-02T18:10:00+00:00,2026-06-02T18:15:00+00:00,BUY_DOWN,0.745,0.460559,-0.284441,67610.68,67614.0,0.0007309502,0.463,2.0,True,EXIT:edge_lost,0.7644,0.645,edge_lost,2026-06-02T18:14:37.701875+00:00
2026-06-02T18:16:43.682248+00:00,btc-updown-5m-1780424100,2026-06-02T18:15:00+00:00,2026-06-02T18:20:00+00:00,BUY_UP,0.285,0.526668,0.241668,67563.97,67558.01,0.0007219703,3.272,2.0,True,Down,-0.57,,,
2026-06-02T18:30:17.608454+00:00,btc-updown-5m-1780425000,2026-06-02T18:30:00+00:00,2026-06-02T18:35:00+00:00,BUY_DOWN,0.65,0.405396,-0.244604,67334.0,67358.38,0.0006992253,4.707,2.0,True,EXIT:edge_lost,0.3234,0.515,edge_lost,2026-06-02T18:30:51.357087+00:00
2026-06-02T18:36:12.294325+00:00,btc-updown-5m-1780425300,2026-06-02T18:35:00+00:00,2026-06-02T18:40:00+00:00,BUY_UP,0.365,0.625182,0.260182,67274.36,67252.38,0.0005247935,3.795,2.0,True,Down,-0.73,,,
2026-06-02T18:43:20.655674+00:00,btc-updown-5m-1780425600,2026-06-02T18:40:00+00:00,2026-06-02T18:45:00+00:00,BUY_UP,0.165,0.412241,0.247241,67210.88,67220.74,0.0005147855,1.656,2.0,True,EXIT:edge_lost,1.568,0.965,edge_lost,2026-06-02T18:44:23.096238+00:00
2026-06-02T18:47:12.347601+00:00,btc-updown-5m-1780425900,2026-06-02T18:45:00+00:00,2026-06-02T18:50:00+00:00,BUY_UP,0.17,0.450122,0.280122,67245.64,67253.23,0.0005405807,2.794,2.0,True,Down,-0.34,,,
2026-06-02T18:55:42.478128+00:00,btc-updown-5m-1780426500,2026-06-02T18:55:00+00:00,2026-06-02T19:00:00+00:00,BUY_DOWN,0.755,0.449485,-0.305515,67194.39,67203.99,0.0005455552,4.292,2.0,True,EXIT:edge_lost,-0.46,0.015,edge_lost,2026-06-02T18:57:41.181509+00:00
2026-06-02T19:00:41.091088+00:00,btc-updown-5m-1780426800,2026-06-02T19:00:00+00:00,2026-06-02T19:05:00+00:00,BUY_DOWN,0.805,0.499769,-0.305231,67408.22,67408.22,0.0005573693,4.315,2.0,True,EXIT:edge_lost,1.4896,0.955,edge_lost,2026-06-02T19:04:31.612589+00:00
2026-06-02T19:05:56.379141+00:00,btc-updown-5m-1780427100,2026-06-02T19:05:00+00:00,2026-06-02T19:10:00+00:00,BUY_UP,0.255,0.499767,0.244767,67244.35,67244.35,0.0005786113,4.06,2.0,True,EXIT:edge_lost,1.3426,0.94,edge_lost,2026-06-02T19:08:34.865004+00:00
2026-06-02T19:10:27.688975+00:00,btc-updown-5m-1780427400,2026-06-02T19:10:00+00:00,2026-06-02T19:15:00+00:00,BUY_DOWN,0.795,0.499746,-0.295254,67347.89,67347.89,0.0005968117,4.539,2.0,True,EXIT:edge_lost,-0.4,0.005,edge_lost,2026-06-02T19:14:58.171797+00:00
2026-06-02T19:20:41.950934+00:00,btc-updown-5m-1780428000,2026-06-02T19:20:00+00:00,2026-06-02T19:25:00+00:00,BUY_UP,0.245,0.499703,0.254703,67133.55,67133.56,0.0006028193,4.301,2.0,True,EXIT:edge_reversed,0.5292,0.515,edge_reversed,2026-06-02T19:20:59.009310+00:00
2026-06-02T19:25:53.838430+00:00,btc-updown-5m-1780428300,2026-06-02T19:25:00+00:00,2026-06-02T19:30:00+00:00,BUY_DOWN,0.775,0.473707,-0.301293,67163.99,67169.45,0.0006142934,4.103,2.0,True,EXIT:edge_lost,1.4896,0.985,edge_lost,2026-06-02T19:28:37.513035+00:00
2026-06-02T19:50:22.597292+00:00,btc-updown-5m-1780429800,2026-06-02T19:50:00+00:00,2026-06-02T19:55:00+00:00,BUY_DOWN,0.785,0.499567,-0.285433,67277.99,67277.99,0.0010091641,4.623,2.0,True,EXIT:edge_lost,-0.42,0.005,edge_lost,2026-06-02T19:53:11.257151+00:00
2026-06-02T19:58:37.142026+00:00,btc-updown-5m-1780430100,2026-06-02T19:55:00+00:00,2026-06-02T20:00:00+00:00,BUY_UP,0.425,0.668715,0.243715,67219.98,67184.0,0.0010426182,1.381,2.0,True,EXIT:edge_lost,0.9212,0.895,edge_lost,2026-06-02T19:59:21.963311+00:00
2026-06-02T20:00:12.242090+00:00,btc-updown-5m-1780430400,2026-06-02T20:00:00+00:00,2026-06-02T20:05:00+00:00,BUY_UP,0.265,0.529934,0.264934,67232.01,67220.02,0.0010677509,4.796,2.0,True,Down,-0.53,,,
2026-06-02T20:05:43.874841+00:00,btc-updown-5m-1780430700,2026-06-02T20:05:00+00:00,2026-06-02T20:10:00+00:00,BUY_DOWN,0.745,0.499516,-0.245484,67367.99,67368.0,0.0011110843,4.269,2.0,True,EXIT:edge_lost,-0.509,0.0005,edge_lost,2026-06-02T20:09:40.682468+00:00
